PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,ESRI_OID,x2,y2
0032XX Elliot AV S,3383033,MP 2015 999036,03,3/1/2015 12:55:18 PM,3/1/2015 12:00:00 PM,12:00:00,THEFT,Other Theft,07,3/1/2015 12:55:18 PM,15808,44.94395254,-93.26134773,-10381805.7396,5612702.2722,POWDERHORN PARK,3/2/2015 1:09:45 PM,3/3/2017 1:40:06 PM,2651,-10381805.7396,5612702.2722
0037XX Lake ST E,3383038,MP 2015 999035,03,3/1/2015 1:25:10 PM,2/27/2015 11:00:00 PM,23:00:00,TFMV,Theft From Motr Vehc,07,3/1/2015 1:25:10 PM,14412,44.94835538,-93.21846887,-10377032.4868,5613394.7583,LONGFELLOW,3/1/2015 1:25:21 PM,3/3/2017 1:40:06 PM,2652,-10377032.4868,5613394.75830001
0029XX Hennepin AV S,3383039,MP 2015 071154,05,3/1/2015 1:44:00 PM,3/1/2015 1:00:00 PM,13:00:00,THEFT,Other Theft,07,3/1/2015 1:41:34 PM,17660,44.94881103,-93.29827927,-10385916.9401,5613466.4267,EAST ISLES,3/2/2015 4:44:53 PM,3/3/2017 1:40:06 PM,2653,-10385916.9401,5613466.42670001
0020XX Como AV SE,3383042,MP 2015 071164,02,3/1/2015 2:10:00 PM,2/28/2015 5:00:00 PM,17:00:00,BURGD,Burglary Of Dwelling,06,3/1/2015 2:10:00 PM,20336,44.98786633,-93.22351787,-10377594.5396,5619611.4903,COMO,3/2/2015 12:54:22 PM,3/3/2017 1:40:06 PM,2654,-10377594.5396,5619611.4903
0030XX Hennepin AV S,3383044,MP 2015 071148,05,3/1/2015 2:15:00 PM,3/1/2015 10:30:00 AM,10:30:00,THEFT,Other Theft,07,3/1/2015 2:15:22 PM,11281,44.9474742,-93.29829195,-10385918.3514,5613256.1615,CARAG,3/2/2015 4:45:15 PM,3/3/2017 1:40:06 PM,2655,-10385918.3514,5613256.16150001
0039XX 14 AV S,3383060,MP 2015 071226,03,3/1/2015 3:50:00 PM,2/7/2015 7:00:00 AM,07:00:00,BURGD,Burglary Of Dwelling,06,3/1/2015 3:37:07 PM,11980,44.93142867,-93.25492467,-10381090.7284,5610732.7856,BANCROFT,3/2/2015 6:53:38 AM,3/3/2017 1:40:06 PM,2656,-10381090.7284,5610732.7856
0020XX Lyndale AV S,3383062,MP 2015 999032,05,3/1/2015 3:49:52 PM,2/28/2015 11:30:00 PM,23:30:00,THEFT,Other Theft,07,3/1/2015 3:49:52 PM,16043,44.96180795,-93.28800649,-10384773.3801,5615510.9314,WHITTIER,3/2/2015 4:37:51 PM,3/3/2017 1:40:06 PM,2657,-10384773.3801,5615510.9314
00001X 5 ST S,3383070,MP 2015 999031,01,3/1/2015 4:52:19 PM,2/28/2015 1:00:00 AM,01:00:00,THEFT,Other Theft,07,3/1/2015 4:52:19 PM,25831,44.9792772,-93.27150683,-10382936.646,5618259.6951,DOWNTOWN WEST,3/2/2015 1:02:34 PM,3/3/2017 1:40:06 PM,2658,-10382936.646,5618259.69510001
0006XX Taylor ST NE,3383072,MP 2015 071248,02,3/1/2015 5:07:00 PM,2/28/2015 10:30:00 AM,10:30:00,THEFT,Other Theft,07,3/1/2015 5:05:52 PM,15978,44.99600236,-93.24352432,-10379821.6472,5620892.1611,BELTRAMI,3/27/2015 10:48:25 AM,3/3/2017 1:40:06 PM,2659,-10379821.6472,5620892.1611
0047XX Hiawatha AV ,3383074,MP 2015 071236,03,3/1/2015 5:15:00 PM,3/1/2015 3:20:00 PM,15:20:00,THEFT,Other Theft,07,3/1/2015 5:14:49 PM,21629,44.91792713,-93.21689298,-10376857.0598,5608610.0326,HIAWATHA,3/6/2015 1:01:24 PM,3/3/2017 1:40:06 PM,2660,-10376857.0598,5608610.0326
0027XX 31 ST E,3383077,MP 2015 071313,03,3/1/2015 5:38:00 PM,3/1/2015 5:10:00 PM,17:10:00,BIKETF,Bike Theft,07,3/1/2015 5:38:07 PM,11259,44.94684692,-93.2323635,-10378579.2304,5613157.4993,LONGFELLOW,3/2/2015 6:56:10 AM,3/3/2017 1:40:06 PM,2661,-10378579.2304,5613157.4993
0059XX Nicollet AV S,3383078,MP 2015 071267,05,3/1/2015 5:30:00 PM,3/1/2015 4:17:00 PM,16:17:00,THEFT,Other Theft,07,3/1/2015 5:42:45 PM,13304,44.8949328,-93.2781055,-10383671.2063,5604995.9438,WINDOM,3/2/2015 4:42:53 PM,3/3/2017 1:40:06 PM,2662,-10383671.2063,5604995.94380001
0005XX Broadway AV W,3383079,MP 2015 071254,04,3/1/2015 5:43:00 PM,3/1/2015 4:00:00 PM,16:00:00,TFPER,Theft From Person,07,3/1/2015 5:42:48 PM,22647,44.99913516,-93.28682309,-10384641.6445,5621385.3364,NEAR - NORTH,3/2/2015 7:15:00 AM,3/3/2017 1:40:06 PM,2663,-10384641.6445,5621385.33640001
13 AV S / 24 ST E,3383082,MP 2015 999030,03,3/1/2015 5:59:11 PM,3/3/2014 12:00:00 AM,00:00:00,THEFT,Other Theft,07,3/1/2015 5:59:11 PM,,44.95912,-93.25619,-10381231.82,5615088.819,VENTURA VILLAGE,3/2/2015 3:34:12 PM,3/3/2017 1:40:06 PM,2664,-10381231.82,5615088.81900001
1 AV NE / 4 ST NE,3383085,MP 2015 999029,02,3/1/2015 6:08:00 PM,2/27/2015 10:45:00 PM,22:45:00,TFMV,Theft From Motr Vehc,07,3/1/2015 6:08:07 PM,,44.9895,-93.25564,-10381170.34,5619868.78,NICOLLET ISLAND - EAST BANK,3/9/2015 2:03:07 PM,3/3/2017 1:40:06 PM,2665,-10381170.34,5619868.78
0005XX 14 AV SE,3383097,MP 2015 071315,02,3/1/2015 8:20:00 PM,2/28/2015 7:30:00 PM,19:30:00,BURGD,Burglary Of Dwelling,06,3/1/2015 8:20:20 PM,16638,44.981964,-93.23460561,-10378828.8209,5618682.5341,MARCY HOLMES,3/21/2016 11:30:07 AM,3/3/2017 1:40:06 PM,2666,-10378828.8209,5618682.53410001
0030XX Hennepin AV S,3383107,MP 2015 071334,05,3/1/2015 9:40:00 PM,3/1/2015 5:40:00 PM,17:40:00,THEFT,Other Theft,07,3/1/2015 9:39:20 PM,11281,44.9474742,-93.29829195,-10385918.3514,5613256.1615,CARAG,3/2/2015 4:42:30 PM,3/3/2017 1:40:06 PM,2667,-10385918.3514,5613256.16150001
0009XX NICOLLET MALL  ,3383109,MP 2015 999027,01,3/1/2015 9:46:35 PM,3/1/2015 8:00:00 PM,20:00:00,THEFT,Other Theft,07,3/1/2015 9:46:35 PM,19563,44.97449942,-93.27431687,-10383249.4581,5617507.8346,DOWNTOWN WEST,3/2/2015 9:01:41 AM,3/3/2017 1:40:06 PM,2668,-10383249.4581,5617507.83460001
0006XX 2 AV S,3383111,MP 2015 071515,01,3/1/2015 10:11:00 PM,3/1/2015 12:30:00 AM,00:30:00,CSCR,Crim Sex Cond-rape,03,3/1/2015 10:10:38 PM,17250,44.97622405,-93.26910895,-10382669.715,5617779.2251,DOWNTOWN WEST,3/2/2015 10:07:13 AM,3/3/2017 1:40:06 PM,2669,-10382669.715,5617779.22510001
18 ST E / 2 AV S,3383136,MP 2015 071539,05,3/2/2015 1:29:00 AM,3/1/2015 9:40:00 PM,21:40:00,ROBPAG,Robbery Per Agg,04,3/2/2015 1:28:18 AM,,44.96521,-93.27403,-10383217.43,5616046.894,STEVENS SQUARE - LORING HEIGHTS,3/2/2015 8:11:21 AM,3/3/2017 1:40:06 PM,2670,-10383217.43,5616046.894
0003XX 2 AV N,3383157,MP 2015 071764,01,3/2/2015 5:00:00 AM,3/2/2015 2:11:00 AM,02:11:00,ASLT1,Aslt-great Bodily Hm,05,3/2/2015 4:33:24 AM,17207,44.98246167,-93.27310707,-10383114.784,5618760.8578,DOWNTOWN WEST,3/2/2015 7:32:48 AM,3/3/2017 1:40:06 PM,2671,-10383114.784,5618760.8578
0042XX 29 AV S,3383158,MP 2015 071844,03,3/2/2015 6:17:00 AM,3/2/2015 5:54:00 AM,05:54:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 6:15:25 AM,12159,44.92598847,-93.23085691,-10378411.5169,5609877.4006,ERICSSON,3/3/2015 7:53:39 AM,3/3/2017 1:40:06 PM,2672,-10378411.5169,5609877.4006
0051XX 34 AV S,3383174,MP 2015 071905,03,3/2/2015 9:09:00 AM,3/2/2015 5:30:00 AM,05:30:00,SHOPLF,Shoplifting,07,3/2/2015 9:09:25 AM,12924,44.91035089,-93.22285845,-10377521.1326,5607419.0934,MINNEHAHA,3/3/2015 8:07:21 AM,3/3/2017 1:40:06 PM,2673,-10377521.1326,5607419.0934
0025XX Irving AV N,3383175,MP 2015 071891,04,3/2/2015 9:11:00 AM,3/2/2015 7:37:00 AM,07:37:00,DASLT2,2nd Deg Domes Aslt,05,3/2/2015 9:09:50 AM,20603,45.00475376,-93.29982314,-10386088.8028,5622269.8988,JORDAN,3/3/2015 10:30:37 AM,3/3/2017 1:40:06 PM,2674,-10386088.8028,5622269.8988
0016XX Fillmore ST NE,3383176,MP 2015 071922,02,3/2/2015 9:10:00 AM,12/2/2014 8:00:00 AM,08:00:00,THEFT,Other Theft,07,3/2/2015 9:10:06 AM,21697,45.00382428,-93.24227237,-10379682.2805,5622123.5606,NORTHEAST PARK,5/5/2015 9:27:51 AM,3/3/2017 1:40:06 PM,2675,-10379682.2805,5622123.5606
0013XX 28 ST W,3383187,MP 2015 071949,05,3/2/2015 9:20:00 AM,3/2/2015 9:07:00 AM,09:07:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 9:20:35 AM,17311,44.95195368,-93.29633652,-10385700.6738,5613960.7453,LOWRY HILL EAST,3/3/2015 8:42:31 PM,3/3/2017 1:40:06 PM,2676,-10385700.6738,5613960.74530001
0037XX Columbus AV S,3383206,MP 2015 071986,03,3/2/2015 10:05:00 AM,2/25/2015 12:00:00 PM,12:00:00,THEFT,Other Theft,07,3/2/2015 10:04:06 AM,12099,44.93487095,-93.26376217,-10382074.5147,5611274.0708,CENTRAL,3/3/2015 9:51:19 AM,3/3/2017 1:40:06 PM,2677,-10382074.5147,5611274.07080001
0001XX 5 AV S,3383211,MP 2015 999024,01,3/2/2015 10:11:26 AM,3/1/2015 12:00:00 AM,00:00:00,THEFT,Other Theft,07,3/2/2015 10:11:26 AM,18617,44.98034832,-93.26022288,-10381680.5222,5618428.2616,DOWNTOWN WEST,3/3/2015 7:58:15 AM,3/3/2017 1:40:06 PM,2678,-10381680.5222,5618428.26160001
0029XX Fremont AV N,3383245,MP 2015 999023,04,3/2/2015 11:19:15 AM,3/1/2015 12:00:00 PM,12:00:00,THEFT,Other Theft,07,3/2/2015 11:19:15 AM,22232,45.01044525,-93.29558409,-10385616.9137,5623166.0271,JORDAN,3/2/2015 11:19:23 AM,3/3/2017 1:40:06 PM,2679,-10385616.9137,5623166.02709999
0002XX Sheridan AV S,3383246,MP 2015 071966,04,3/2/2015 9:45:00 AM,3/2/2015 9:00:00 AM,09:00:00,BURGD,Burglary Of Dwelling,06,3/2/2015 11:22:34 AM,18679,44.97446322,-93.31217223,-10387463.4973,5617502.138,BRYN - MAWR,3/12/2015 1:43:31 PM,3/3/2017 1:40:06 PM,2680,-10387463.4973,5617502.13799999
0033XX 4 ST N,3383247,MP 2015 071947,04,3/2/2015 11:20:00 AM,3/2/2015 9:00:00 AM,09:00:00,ASLT3,Aslt-sgnfcnt Bdly Hm,05,3/2/2015 11:22:48 AM,19820,45.01579448,-93.28495692,-10384433.9026,5624008.3462,MCKINLEY,3/2/2015 2:04:59 PM,3/3/2017 1:40:06 PM,2681,-10384433.9026,5624008.34620001
0054XX 34 AV S,3383262,MP 2015 072043,03,3/2/2015 11:51:00 AM,3/2/2015 10:40:00 AM,10:40:00,DASLT2,2nd Deg Domes Aslt,05,3/2/2015 11:48:59 AM,18526,44.90492029,-93.22288328,-10377523.897,5606565.5306,WENONAH,3/4/2015 9:37:41 AM,3/3/2017 1:40:06 PM,2682,-10377523.897,5606565.5306
00009X 7 ST S,3383266,MP 2015 999021,01,3/2/2015 11:56:35 AM,3/2/2015 9:30:00 AM,09:30:00,THEFT,Other Theft,07,3/2/2015 11:56:35 AM,21738,44.9766084,-93.2715586,-10382942.4084,5617839.7085,DOWNTOWN WEST,3/3/2015 7:58:09 AM,3/3/2017 1:40:06 PM,2683,-10382942.4084,5617839.70849999
0044XX Nicollet AV S,3383267,MP 2015 071956,05,3/2/2015 9:30:00 AM,3/1/2015 4:50:00 PM,16:50:00,NOPAY,Gas Station Driv-off,07,3/2/2015 11:57:41 AM,18721,44.9223453,-93.27793595,-10383652.3327,5609304.616,KING FIELD,3/2/2015 1:47:32 PM,3/3/2017 1:40:06 PM,2684,-10383652.3327,5609304.61599999
0020XX 19 AV NE,3383272,MP 2015 999020,02,3/2/2015 12:06:09 PM,2/27/2015 10:00:00 AM,10:00:00,TFMV,Theft From Motr Vehc,07,3/2/2015 12:06:09 PM,16161,45.00777231,-93.23139707,-10378471.6483,5622745.1607,WINDOM PARK,3/2/2015 12:57:21 PM,3/3/2017 1:40:06 PM,2685,-10378471.6483,5622745.1607
0011XX 7 ST SE,3383275,MP 2015 072104,02,3/2/2015 12:36:00 PM,2/28/2015 7:30:00 PM,19:30:00,THEFT,Other Theft,07,3/2/2015 12:34:47 PM,17732,44.98482419,-93.23689315,-10379083.4689,5619132.6817,MARCY HOLMES,3/3/2015 10:30:55 AM,3/3/2017 1:40:06 PM,2686,-10379083.4689,5619132.68170001
0004XX 1 AV N,3383278,MP 2015 072141,01,3/2/2015 12:50:00 PM,3/2/2015 2:00:00 AM,02:00:00,THEFT,Other Theft,07,3/2/2015 12:48:07 PM,17121,44.98080828,-93.27314066,-10383118.5232,5618500.6487,DOWNTOWN WEST,3/3/2015 7:54:19 AM,3/3/2017 1:40:06 PM,2687,-10383118.5232,5618500.6487
0024XX Grand AV S,3383283,MP 2015 072140,05,3/2/2015 1:14:00 PM,3/2/2015 11:45:00 AM,11:45:00,BURGB,Burglary Of Business,06,3/2/2015 1:14:16 PM,16670,44.95822037,-93.28421282,-10384351.0697,5614946.5354,WHITTIER,3/3/2015 9:32:49 AM,3/3/2017 1:40:06 PM,2688,-10384351.0697,5614946.5354
0006XX 5 ST N,3383292,MP 2015 072183,01,3/2/2015 1:30:00 PM,2/26/2015 8:38:00 PM,20:38:00,THEFT,Other Theft,07,3/2/2015 1:38:42 PM,16909,44.98504707,-93.28019274,-10383903.5564,5619167.7605,NORTH LOOP,3/5/2015 2:42:05 PM,3/3/2017 1:40:06 PM,2689,-10383903.5564,5619167.7605
0037XX Girard AV N,3383295,MP 2015 072119,04,3/2/2015 1:30:00 PM,2/28/2015 10:00:00 PM,22:00:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 1:42:21 PM,18898,45.02308463,-93.29688932,-10385762.2118,5625156.4217,FOLWELL,3/2/2015 2:39:32 PM,3/3/2017 1:40:06 PM,2690,-10385762.2118,5625156.4217
0033XX Bryant AV N,3383305,MP 2015 072209,04,3/2/2015 2:25:00 PM,3/2/2015 7:20:00 AM,07:20:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 2:26:01 PM,10475,45.01581643,-93.2905467,-10385056.1541,5624011.8037,MCKINLEY,3/3/2015 6:17:44 AM,3/3/2017 1:40:06 PM,2691,-10385056.1541,5624011.8037
0056XX 1 AV S,3383306,MP 2015 072112,05,3/2/2015 2:35:00 PM,3/2/2015 9:10:00 AM,09:10:00,BURGD,Burglary Of Dwelling,06,3/2/2015 2:34:46 PM,16033,44.9006085,-93.27682532,-10383528.6979,5605887.8764,WINDOM,4/2/2015 2:57:30 PM,3/3/2017 1:40:06 PM,2692,-10383528.6979,5605887.87640001
00002X 15 ST E,3383308,MP 2015 999018,01,3/2/2015 2:35:23 PM,2/28/2015 12:00:00 AM,00:00:00,THEFT,Other Theft,07,3/2/2015 2:35:23 PM,25123,44.96806562,-93.27713536,-10383563.2107,5616495.4722,LORING PARK,3/3/2015 7:57:49 AM,3/3/2017 1:40:06 PM,2693,-10383563.2107,5616495.47220001
0034XX Aldrich AV N,3383316,MP 2015 072241,04,3/2/2015 3:00:00 PM,2/6/2015 12:01:00 AM,00:01:00,THEFT,Other Theft,07,3/2/2015 2:50:34 PM,18265,45.01760662,-93.28929423,-10384916.7303,5624293.714,MCKINLEY,3/3/2015 6:17:56 AM,3/3/2017 1:40:06 PM,2694,-10384916.7303,5624293.71400001
0028XX Franklin AV E,3383329,MP 2015 072252,03,3/2/2015 3:10:00 PM,2/25/2015 6:37:00 PM,18:37:00,SHOPLF,Shoplifting,07,3/2/2015 3:21:20 PM,15107,44.96276506,-93.23060887,-10378383.9053,5615661.5101,SEWARD,3/3/2015 8:10:14 AM,3/3/2017 1:40:06 PM,2695,-10378383.9053,5615661.5101
0009XX Central AV NE,3383349,MP 2015 999014,02,3/2/2015 3:33:44 PM,3/1/2015 3:00:00 PM,15:00:00,THEFT,Other Theft,07,3/2/2015 3:33:44 PM,17616,44.99594307,-93.24763938,-10380279.7332,5620882.8282,MARCY HOLMES,3/2/2015 3:33:49 PM,3/3/2017 1:40:06 PM,2696,-10380279.7332,5620882.82819999
0033XX 21 AV S,3383356,MP 2015 072280,03,3/2/2015 3:40:00 PM,2/20/2015 8:00:00 AM,08:00:00,THEFT,Other Theft,07,3/2/2015 3:42:21 PM,11582,44.94213183,-93.24229748,-10379685.0759,5612415.9226,CORCORAN,4/13/2015 10:26:56 AM,3/3/2017 1:40:06 PM,2697,-10379685.0759,5612415.9226
0056XX 36 AV S,3383370,MP 2015 072277,03,3/2/2015 4:18:00 PM,2/26/2015 2:58:00 PM,14:58:00,BURGD,Burglary Of Dwelling,06,3/2/2015 4:17:42 PM,22245,44.90086526,-93.22038713,-10377246.0271,5605928.2289,MORRIS PARK,3/16/2015 7:56:35 AM,3/3/2017 1:40:06 PM,2698,-10377246.0271,5605928.2289
0025XX Harriet AV S,3383378,MP 2015 999011,05,3/2/2015 5:02:05 PM,2/1/2015 12:00:00 AM,00:00:00,THEFT,Other Theft,07,3/2/2015 5:02:05 PM,21709,44.9564318,-93.28550353,-10384494.7509,5614665.171,WHITTIER,3/3/2015 9:03:22 AM,3/3/2017 1:40:06 PM,2699,-10384494.7509,5614665.171
10 AV S / 6 ST S,3383381,MP 2015 072312,01,3/2/2015 5:15:00 PM,3/2/2015 6:45:00 AM,06:45:00,TFMV,Theft From Motr Vehc,07,3/2/2015 5:13:45 PM,,44.97207,-93.25782,-10381413.05,5617126.144,ELLIOT PARK,3/3/2015 7:56:51 AM,3/3/2017 1:40:06 PM,2700,-10381413.05,5617126.14400001
0031XX Lyndale AV S,3383383,MP 2015 072345,05,3/2/2015 6:01:00 PM,2/25/2015 1:00:00 PM,13:00:00,THEFT,Other Theft,07,3/2/2015 5:18:34 PM,22067,44.94566801,-93.28812843,-10384786.9541,5612972.0778,LYNDALE,3/3/2015 9:04:56 AM,3/3/2017 1:40:06 PM,2701,-10384786.9541,5612972.07780001
0005XX Oak Grove ST ,3383385,MP 2015 999009,01,3/2/2015 5:19:41 PM,3/2/2015 9:30:00 AM,09:30:00,THEFT,Other Theft,07,3/2/2015 5:19:41 PM,15049,44.9679837,-93.28601271,-10384551.433,5616482.582,LORING PARK,3/3/2015 7:57:35 AM,3/3/2017 1:40:06 PM,2702,-10384551.433,5616482.582
0010XX 14 ST E,3383390,MP 2015 999008,01,3/2/2015 5:31:36 PM,12/1/2014 8:00:00 AM,08:00:00,THEFT,Other Theft,07,3/2/2015 5:31:36 PM,20572,44.96885453,-93.25892896,-10381536.4839,5616619.602,ELLIOT PARK,3/3/2015 7:57:13 AM,3/3/2017 1:40:06 PM,2703,-10381536.4839,5616619.602
0008XX 4 ST N,3383398,MP 2015 072406,01,3/2/2015 6:47:00 PM,3/2/2015 8:51:00 AM,08:51:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 6:34:59 PM,16620,44.98720974,-93.28094392,-10383987.178,5619508.1465,NORTH LOOP,3/4/2015 7:06:53 AM,3/3/2017 1:40:06 PM,2704,-10383987.178,5619508.1465
0034XX 2 ST NE,3383403,MP 2015 072412,02,3/2/2015 7:16:00 PM,3/2/2015 7:45:00 AM,07:45:00,BURGD,Burglary Of Dwelling,06,3/2/2015 7:16:02 PM,10844,45.03100388,-93.26642387,-10382370.8132,5626403.7331,COLUMBIA PARK,3/3/2015 10:35:08 AM,3/3/2017 1:40:06 PM,2705,-10382370.8132,5626403.7331
0003XX Lake ST W,3383415,MP 2015 072548,05,3/2/2015 8:31:00 PM,3/2/2015 7:42:00 PM,19:42:00,ROBBIZ,Robbery Of Business,04,3/2/2015 8:31:16 PM,19783,44.94835544,-93.28365334,-10384288.7897,5613394.768,LYNDALE,3/3/2015 12:18:02 AM,3/3/2017 1:40:06 PM,2706,-10384288.7897,5613394.76800001
0026XX California ST NE,3383417,MP 2015 072556,02,3/2/2015 8:53:00 PM,3/2/2015 4:00:00 PM,16:00:00,THEFT,Other Theft,07,3/2/2015 8:53:19 PM,16386,45.01588272,-93.26892021,-10382648.7041,5624022.2423,MARSHALL TERRACE,3/3/2015 10:37:52 AM,3/3/2017 1:40:06 PM,2707,-10382648.7041,5624022.2423
0037XX Dight AV ,3383420,MP 2015 072599,03,3/2/2015 9:24:00 PM,3/2/2015 8:46:00 PM,20:46:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 9:24:29 PM,11450,44.93503519,-93.22726525,-10378011.6956,5611299.8978,HOWE,3/3/2015 8:15:05 AM,3/3/2017 1:40:06 PM,2708,-10378011.6956,5611299.89779999
00001X Grant ST E,3383421,MP 2015 072580,01,3/2/2015 9:40:00 PM,3/2/2015 8:00:00 PM,20:00:00,ASLT2,Asslt W/dngrs Weapon,05,3/2/2015 9:40:08 PM,16711,44.9698153,-93.27713789,-10383563.4922,5616770.7737,LORING PARK,3/3/2015 6:22:11 AM,3/3/2017 1:40:06 PM,2709,-10383563.4922,5616770.7737
0029XX Chicago AV S,3383423,MP 2015 072637,03,3/2/2015 10:10:00 PM,3/2/2015 10:30:00 AM,10:30:00,BURGD,Burglary Of Dwelling,06,3/2/2015 10:09:09 PM,25867,44.9488397,-93.26267192,-10381953.1487,5613470.936,MIDTOWN PHILLIPS,3/6/2015 1:13:21 PM,3/3/2017 1:40:06 PM,2710,-10381953.1487,5613470.936
0006XX Cedar AV S,3383424,MP 2015 072576,01,3/2/2015 10:21:00 PM,3/2/2015 8:28:00 PM,20:28:00,AUTOTH,Motor Vehicle Theft,08,3/2/2015 10:20:42 PM,19222,44.96717526,-93.24725864,-10380237.3498,5616355.3826,CEDAR RIVERSIDE,3/3/2015 7:39:32 AM,3/3/2017 1:40:06 PM,2711,-10380237.3498,5616355.38260001
0004XX 23 AV N,3383452,MP 2015 072847,04,3/3/2015 1:24:00 AM,3/3/2015 12:00:00 AM,00:00:00,ROBPER,Robbery Of Person,04,3/3/2015 1:24:05 AM,18673,45.00257764,-93.2856884,-10384515.3313,5621927.292,HAWTHORNE,3/4/2015 6:35:27 AM,3/3/2017 1:40:06 PM,2712,-10384515.3313,5621927.29200001
0001XX 4 ST N,3383473,MP 2015 073033,01,3/3/2015 7:29:00 AM,3/1/2015 10:25:00 PM,22:25:00,THEFT,Other Theft,07,3/3/2015 7:28:38 AM,17122,44.98164758,-93.27311624,-10383115.8047,5618632.7352,DOWNTOWN WEST,3/4/2015 7:07:06 AM,3/3/2017 1:40:06 PM,2713,-10383115.8047,5618632.73520001
0027XX 1 AV S,3383480,MP 2015 073066,05,3/3/2015 8:43:00 AM,3/3/2015 4:45:00 AM,04:45:00,THEFT,Other Theft,07,3/3/2015 8:42:41 AM,16216,44.95283819,-93.27660134,-10383503.7645,5614099.8774,WHITTIER,3/3/2015 2:59:55 PM,3/3/2017 1:40:06 PM,2714,-10383503.7645,5614099.87740001
0005XX 2 AV N,3383485,MP 2015 072778,01,3/3/2015 9:00:00 AM,3/2/2015 11:17:00 PM,23:17:00,ROBPER,Robbery Of Person,04,3/3/2015 8:59:59 AM,22699,44.98080398,-93.27539625,-10383369.6141,5618499.972,DOWNTOWN WEST,3/4/2015 6:29:19 AM,3/3/2017 1:40:06 PM,2715,-10383369.6141,5618499.972
0032XX Bloomington AV S,3383501,MP 2015 073111,03,3/3/2015 9:50:00 AM,3/3/2015 1:00:00 AM,01:00:00,TFMV,Theft From Motr Vehc,07,3/3/2015 9:50:22 AM,11594,44.94382254,-93.25246604,-10380817.0349,5612681.8261,POWDERHORN PARK,3/4/2015 8:00:11 AM,3/3/2017 1:40:06 PM,2716,-10380817.0349,5612681.8261
0035XX 42 AV S,3383504,MP 2015 072254,03,3/3/2015 10:00:00 AM,2/26/2015 4:00:00 PM,16:00:00,ASLT3,Aslt-sgnfcnt Bdly Hm,05,3/3/2015 10:02:18 AM,21192,44.93876838,-93.21274732,-10376395.5675,5611886.9661,HOWE,3/11/2015 4:00:19 PM,3/3/2017 1:40:06 PM,2717,-10376395.5675,5611886.9661
31 ST W / Hennepin AV S,3383532,MP 2015 999000,05,3/3/2015 12:07:00 PM,2/18/2015 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,3/3/2015 12:07:17 PM,,44.94659,-93.2983,-10385919.47,5613116.339,ECCO,5/14/2015 12:38:02 PM,3/3/2017 1:40:06 PM,2718,-10385919.47,5613116.33900001
0021XX Dupont AV N,3383540,MP 2015 073219,04,3/3/2015 12:32:00 PM,2/27/2015 5:00:00 PM,17:00:00,AUTOTH,Motor Vehicle Theft,08,3/3/2015 12:31:18 PM,15074,45.0008743,-93.29258518,-10385283.0771,5621659.1271,HAWTHORNE,3/4/2015 6:05:07 AM,3/3/2017 1:40:06 PM,2719,-10385283.0771,5621659.12710001
0001XX 5 ST N,3383543,MP 2015 998997,01,3/3/2015 12:33:48 PM,2/21/2015 12:00:00 AM,00:00:00,THEFT,Other Theft,07,3/3/2015 12:33:48 PM,17874,44.98078144,-93.27429567,-10383247.0982,5618496.4248,DOWNTOWN WEST,3/6/2015 2:51:43 PM,3/3/2017 1:40:06 PM,2720,-10383247.0982,5618496.42480001
0035XX 47 AV S,3383545,MP 2015 073269,03,3/3/2015 12:45:00 PM,3/3/2015 11:00:00 AM,11:00:00,BURGD,Burglary Of Dwelling,06,3/3/2015 12:40:32 PM,22031,44.9386393,-93.20637553,-10375686.263,5611866.6665,HOWE,3/16/2015 8:59:42 AM,3/3/2017 1:40:06 PM,2721,-10375686.263,5611866.6665
0025XX University AV SE,3383546,MP 2015 073232,02,3/3/2015 12:30:00 PM,2/21/2015 1:00:00 AM,01:00:00,BURGD,Burglary Of Dwelling,06,3/3/2015 12:43:49 PM,13450,44.97316017,-93.22068468,-10377279.1498,5617297.0931,PROSPECT PARK - EAST RIVER ROAD,3/4/2015 9:05:01 AM,3/3/2017 1:40:06 PM,2722,-10377279.1498,5617297.0931
0036XX 32 ST W,3383553,MP 2015 998994,05,3/3/2015 1:15:22 PM,2/24/2015 12:49:00 PM,12:49:00,THEFT,Other Theft,07,3/3/2015 1:15:22 PM,14176,44.94503458,-93.32635725,-10389042.5671,5612872.4519,WEST CALHOUN,3/3/2015 2:59:27 PM,3/3/2017 1:40:06 PM,2723,-10389042.5671,5612872.4519
0046XX 4 AV S,3383558,MP 2015 073258,03,3/3/2015 1:15:00 PM,2/24/2015 9:00:00 AM,09:00:00,THEFT,Other Theft,07,3/3/2015 1:24:50 PM,12988,44.91879565,-93.27026144,-10382798.0101,5608746.5695,FIELD,3/6/2015 1:22:10 PM,3/3/2017 1:40:06 PM,2724,-10382798.0101,5608746.5695
