PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0028XX 28 AV S,3744604,MP 2018 070275,03,3/5/2018 8:45:00 PM,3/5/2018 7:00:00 PM,19:00:00,THEFT,Other Theft,07,3/5/2018 8:45:17 PM,17400,44.95107358,-93.23155507,-10378489.2365,5613822.3079,LONGFELLOW,3/6/2018 9:27:54 AM,3/6/2018 8:00:34 PM,12,-10378489.2365,5613822.3079
0021XX Lake ST E,3744605,MP 2018 070189,03,3/5/2018 8:50:00 PM,3/5/2018 7:20:00 PM,19:20:00,SHOPLF,Shoplifting,07,3/5/2018 8:49:30 PM,21927,44.94837153,-93.2413201,-10379576.2746,5613397.2984,CORCORAN,3/6/2018 4:12:24 AM,3/6/2018 8:00:34 PM,13,-10379576.2746,5613397.2984
0014XX Lake ST W,3744608,MP 2018 998860,05,3/5/2018 9:10:43 PM,3/4/2018 2:00:00 AM,02:00:00,THEFT,Other Theft,07,3/5/2018 9:10:43 PM,16980,44.94836481,-93.29764471,-10385846.3014,5613396.2413,LOWRY HILL EAST,3/5/2018 9:10:51 PM,3/6/2018 8:00:34 PM,14,-10385846.3014,5613396.2413
25 ST E / Minnehaha AV S,3744612,MP 2018 070287,03,3/5/2018 9:30:00 PM,3/5/2018 2:30:00 PM,14:30:00,TFMV,Theft From Motr Vehc,07,3/5/2018 9:34:34 PM,,44.95735,-93.2407,-10379506.92,5614810.153,SEWARD,3/6/2018 5:33:04 AM,3/6/2018 8:00:34 PM,15,-10379506.92,5614810.153
0012XX Lake ST W,3744614,MP 2018 070298,05,3/5/2018 10:00:00 PM,3/5/2018 8:30:00 PM,20:30:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 9:59:28 PM,17302,44.94836088,-93.29510762,-10385563.8739,5613395.6244,CARAG,3/6/2018 11:47:05 AM,3/6/2018 8:00:34 PM,16,-10385563.8739,5613395.6244
0027XX Nicollet AV S,3744617,MP 2018 070081,05,3/5/2018 10:15:00 PM,3/5/2018 5:00:00 PM,17:00:00,TFPER,Theft From Person,07,3/5/2018 10:17:48 PM,16211,44.95283963,-93.27789224,-10383647.466,5614100.1039,WHITTIER,3/6/2018 12:46:44 AM,3/6/2018 8:00:34 PM,17,-10383647.466,5614100.1039
0045XX Hiawatha AV ,3744625,MP 2018 070485,03,3/6/2018 12:35:00 AM,3/5/2018 11:55:00 PM,23:55:00,SHOPLF,Shoplifting,07,3/6/2018 12:34:38 AM,21628,44.92059183,-93.21921931,-10377116.0256,5609028.9454,HIAWATHA,3/6/2018 5:34:19 AM,3/6/2018 8:00:34 PM,18,-10377116.0256,5609028.9454
0032XX Russell AV N,3744627,MP 2018 070492,04,3/6/2018 12:50:00 PM,3/6/2018 12:01:00 AM,00:01:00,BURGD,Burglary Of Dwelling,06,3/6/2018 12:50:09 AM,18759,45.01414127,-93.31079374,-10387310.0443,5623748.0153,CLEVELAND,3/6/2018 6:52:46 AM,3/6/2018 8:00:34 PM,19,-10387310.0443,5623748.0153
0001XX 13 AV NE,3744628,MP 2018 070344,02,3/6/2018 12:52:00 AM,3/5/2018 9:20:00 PM,21:20:00,TFMV,Theft From Motr Vehc,07,3/6/2018 12:51:35 AM,20974,45.0008935,-93.26690906,-10382424.8243,5621662.15,SHERIDAN,3/6/2018 5:15:51 AM,3/6/2018 8:00:34 PM,20,-10382424.8243,5621662.15
0008XX Lake ST W,3744631,MP 2018 070539,05,3/6/2018 1:17:00 AM,3/6/2018 12:50:00 AM,00:50:00,THEFT,Other Theft,07,3/6/2018 1:17:14 AM,16079,44.9483642,-93.29001302,-10384996.7456,5613396.1462,CARAG,3/6/2018 5:00:01 AM,3/6/2018 8:00:34 PM,21,-10384996.7456,5613396.1462
0007XX HENNEPIN AV ,3744641,MP 2018 998859,01,3/6/2018 2:35:30 AM,3/4/2018 1:30:00 AM,01:30:00,THEFT,Other Theft,07,3/6/2018 2:35:30 AM,21654,44.97758226,-93.2753473,-10383364.1645,5617992.9622,DOWNTOWN WEST,3/6/2018 2:35:36 AM,3/6/2018 8:00:34 PM,22,-10383364.1645,5617992.9622
0030XX 15 AV S,3744642,MP 2018 070535,03,3/2/2018 3:05:00 PM,2/26/2018 10:00:00 PM,22:00:00,THEFT,Other Theft,07,3/6/2018 2:36:33 AM,22199,44.94745786,-93.25377331,-10380962.5598,5613253.5911,POWDERHORN PARK,3/6/2018 5:35:23 AM,3/6/2018 8:00:34 PM,23,-10380962.5598,5613253.5911
0054XX 28 AV S,3744651,MP 2018 070536,03,3/6/2018 3:53:00 AM,3/6/2018 12:45:00 AM,00:45:00,BURGB,Burglary Of Business,06,3/6/2018 3:52:49 AM,13388,44.90442665,-93.23232234,-10378574.6485,5606487.946,WENONAH,3/6/2018 5:37:44 AM,3/6/2018 8:00:34 PM,24,-10378574.6485,5606487.946
0039XX Upton AV N,3744657,MP 2018 070650,04,3/6/2018 5:45:00 AM,3/6/2018 4:30:00 AM,04:30:00,AUTOTH,Motor Vehicle Theft,08,3/6/2018 5:02:29 AM,21899,45.02681188,-93.3147681,-10387752.4679,5625743.4564,VICTORY,3/6/2018 2:01:54 PM,3/6/2018 8:00:34 PM,25,-10387752.4679,5625743.4564
0013XX INDUSTRIAL BL ,3744661,MP 2018 998856,02,3/6/2018 8:16:21 AM,3/5/2018 6:00:00 PM,18:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 8:16:21 AM,25819,45.00228657,-93.21164432,-10376272.7812,5621881.4674,MID - CITY INDUSTRIAL,3/6/2018 8:16:27 AM,3/6/2018 8:00:34 PM,26,-10376272.7812,5621881.4674
0026XX Fremont AV S,3744680,MP 2018 998855,05,3/6/2018 9:02:05 AM,3/3/2018 12:00:00 AM,00:00:00,THEFT,Other Theft,07,3/6/2018 9:02:05 AM,17598,44.95464369,-93.29568935,-10385628.632,5614383.8871,LOWRY HILL EAST,3/6/2018 9:02:07 AM,3/6/2018 8:00:34 PM,27,-10385628.632,5614383.8871
0007XX 4 ST N,3744681,MP 2018 998854,01,3/6/2018 9:03:27 AM,3/3/2018 8:30:00 PM,20:30:00,TFMV,Theft From Motr Vehc,07,3/6/2018 9:03:27 AM,16620,44.98720974,-93.28094392,-10383987.178,5619508.1465,NORTH LOOP,3/6/2018 9:03:31 AM,3/6/2018 8:00:34 PM,28,-10383987.178,5619508.1465
0023XX 23 AV S,3744683,MP 2018 070693,03,3/6/2018 9:07:00 AM,3/5/2018 10:30:00 PM,22:30:00,BURGD,Burglary Of Dwelling,06,3/6/2018 9:07:19 AM,22505,44.96005771,-93.23932768,-10379354.479,5615235.5798,SEWARD,3/6/2018 10:24:12 AM,3/6/2018 8:00:34 PM,29,-10379354.479,5615235.5798
0024XX Morgan AV N,3744685,MP 2018 070214,04,3/5/2018 11:00:00 PM,3/5/2018 7:30:00 PM,19:30:00,ARSON,Arson,10,3/6/2018 9:10:17 AM,15199,45.00467597,-93.30443946,-10386602.689,5622257.6526,JORDAN,3/6/2018 10:33:23 AM,3/6/2018 8:00:34 PM,30,-10386602.689,5622257.6526
0015XX 19 ST E,3744686,MP 2018 998853,03,3/6/2018 9:25:55 AM,3/5/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 9:25:55 AM,21462,44.96374585,-93.252808,-10380855.1011,5615815.8163,VENTURA VILLAGE,3/6/2018 9:25:59 AM,3/6/2018 8:00:34 PM,31,-10380855.1011,5615815.8163
0002XX Church ST SE,3744690,MP 2018 998850,02,3/6/2018 9:47:07 AM,3/5/2018 4:15:00 PM,16:15:00,THEFT,Other Theft,07,3/6/2018 9:47:07 AM,19438,44.97527795,-93.23386151,-10378745.9876,5617630.3452,UNIVERSITY OF MINNESOTA,3/6/2018 9:47:10 AM,3/6/2018 8:00:34 PM,32,-10378745.9876,5617630.3452
0005XX 10 ST S,3744693,MP 2018 070804,01,3/6/2018 10:30:00 AM,3/5/2018 10:00:00 PM,22:00:00,BURGD,Burglary Of Dwelling,06,3/6/2018 10:29:46 AM,17360,44.97081037,-93.26721155,-10382458.4977,5616927.3463,ELLIOT PARK,3/6/2018 1:45:27 PM,3/6/2018 8:00:34 PM,33,-10382458.4977,5616927.3463
MINNEHAHA AV  / 54 ST E,3744700,MP 2018 998847,99,3/6/2018 11:07:19 AM,3/2/2018 10:00:00 PM,22:00:00,THEFT,Other Theft,07,3/6/2018 11:07:19 AM,,44.90538,-93.20334,-10375347.85,5606637.725,MINNEHAHA,3/6/2018 11:07:23 AM,3/6/2018 8:00:34 PM,34,-10375347.85,5606637.725
0060XX Newton AV S,3744701,MP 2018 998846,05,3/6/2018 11:09:57 AM,3/3/2018 9:00:00 PM,21:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 11:09:57 AM,14476,44.89338755,-93.30611994,-10386789.7591,5604753.1243,ARMATAGE,3/6/2018 11:10:03 AM,3/6/2018 8:00:34 PM,35,-10386789.7591,5604753.1243
0048XX Bryant AV N,3744703,MP 2018 070669,04,3/6/2018 11:38:00 AM,3/6/2018 4:00:00 AM,04:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 11:38:12 AM,10051,45.04300215,-93.29143755,-10385155.3229,5628293.8371,LIND - BOHANON,3/6/2018 12:48:47 PM,3/6/2018 8:00:34 PM,36,-10385155.3229,5628293.8371
0004XX HENNEPIN AV ,3744705,MP 2018 998845,01,3/6/2018 11:54:43 AM,3/4/2018 2:00:00 AM,02:00:00,THEFT,Other Theft,07,3/6/2018 11:54:43 AM,16700,44.9800647,-93.27188308,-10382978.5303,5618383.6275,DOWNTOWN WEST,3/6/2018 11:54:48 AM,3/6/2018 8:00:34 PM,37,-10382978.5303,5618383.6275
0008XX 11 AV SE,3744706,MP 2018 070808,02,3/6/2018 12:00:00 PM,3/2/2018 11:30:00 PM,23:30:00,CSCR,Crim Sex Cond-rape,03,3/6/2018 11:59:58 AM,17644,44.98656667,-93.23641181,-10379029.8857,5619406.9318,MARCY HOLMES,3/6/2018 2:58:00 PM,3/6/2018 8:00:34 PM,38,-10379029.8857,5619406.9318
0022XX Milwaukee AV ,3744709,MP 2018 070836,03,3/6/2018 11:00:00 AM,3/6/2018 2:00:00 AM,02:00:00,BURGD,Burglary Of Dwelling,06,3/6/2018 12:04:07 PM,18103,44.96095298,-93.24003276,-10379432.9686,5615376.4258,SEWARD,3/6/2018 2:12:38 PM,3/6/2018 8:00:34 PM,39,-10379432.9686,5615376.4258
0009XX Nicollet Mall  ,3744712,MP 2018 070892,01,3/6/2018 12:17:00 PM,3/6/2018 11:29:00 AM,11:29:00,SHOPLF,Shoplifting,07,3/6/2018 12:17:11 PM,19563,44.97449942,-93.27431687,-10383249.4581,5617507.8346,DOWNTOWN WEST,3/6/2018 1:46:59 PM,3/6/2018 8:00:34 PM,40,-10383249.4581,5617507.8346
0029XX HENNEPIN AV ,3744715,MP 2018 998843,05,3/6/2018 12:38:48 PM,3/4/2018 9:30:00 PM,21:30:00,THEFT,Other Theft,07,3/6/2018 12:38:48 PM,17660,44.94881103,-93.29827927,-10385916.9401,5613466.4267,LOWRY HILL EAST,3/6/2018 12:38:52 PM,3/6/2018 8:00:34 PM,41,-10385916.9401,5613466.4267
0028XX Fremont AV N,3744718,MP 2018 070855,04,3/6/2018 12:50:00 PM,3/6/2018 10:40:00 AM,10:40:00,AUTOTH,Motor Vehicle Theft,08,3/6/2018 12:50:07 PM,22231,45.00865586,-93.2955763,-10385616.0468,5622884.2775,JORDAN,3/6/2018 1:47:50 PM,3/6/2018 8:00:34 PM,42,-10385616.0468,5622884.2775
0013XX Tyler ST NE,3744727,MP 2018 070970,02,3/6/2018 1:50:00 PM,2/11/2018 2:30:00 AM,02:30:00,BURGB,Burglary Of Business,06,3/6/2018 1:49:36 PM,16854,45.00142276,-93.24608029,-10380106.1767,5621745.4736,NORTHEAST PARK,3/6/2018 2:53:41 PM,3/6/2018 8:00:34 PM,43,-10380106.1767,5621745.4736
0030XX Ulysses ST NE,3744745,MP 2018 998840,02,3/6/2018 2:53:41 PM,3/4/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,3/6/2018 2:53:41 PM,18957,45.02293515,-93.23583386,-10378965.5492,5625132.8792,AUDUBON PARK,3/6/2018 2:53:44 PM,3/6/2018 8:00:34 PM,44,-10378965.5492,5625132.8792
0045XX Hiawatha AV ,3744768,MP 2018 071211,03,3/6/2018 6:11:00 PM,3/3/2018 8:00:00 PM,20:00:00,BURGB,Burglary Of Business,06,3/6/2018 6:10:39 PM,21628,44.92059183,-93.21921931,-10377116.0256,5609028.9454,HIAWATHA,3/6/2018 7:33:48 PM,3/6/2018 8:00:34 PM,45,-10377116.0256,5609028.9454
0022XX Lyndale AV S,3735037,MP 2018 019737,05,1/19/2018 5:50:00 PM,1/19/2018 4:50:00 PM,16:50:00,ASLT2,Asslt W/dngrs Weapon,05,1/19/2018 5:50:09 PM,16534,44.96002038,-93.28801715,-10384774.5663,5615229.7083,LOWRY HILL EAST,2/8/2018 2:37:29 AM,2/8/2018 8:00:33 PM,46,-10384774.5663,5615229.7083
0018XX 14 AV S,3738790,MP 2018 038592,03,2/6/2018 12:14:00 PM,2/6/2018 10:55:00 AM,10:55:00,AUTOTH,Motor Vehicle Theft,08,2/6/2018 12:13:51 PM,21252,44.96454265,-93.25542523,-10381146.4505,5615941.178,VENTURA VILLAGE,2/8/2018 4:56:23 AM,2/8/2018 8:00:33 PM,47,-10381146.4505,5615941.178
0016XX 6 ST S,3738800,MP 2018 038604,01,2/6/2018 1:30:00 PM,2/6/2018 11:49:00 AM,11:49:00,TFPER,Theft From Person,07,2/6/2018 1:02:40 PM,20031,44.96811948,-93.2484969,-10380375.1923,5616503.946,CEDAR RIVERSIDE,2/8/2018 11:01:04 AM,2/8/2018 8:00:33 PM,48,-10380375.1923,5616503.946
0009XX 24 ST E,3738826,MP 2018 038691,03,2/6/2018 3:08:00 PM,2/6/2018 1:30:00 PM,13:30:00,TFPER,Theft From Person,07,2/6/2018 3:07:41 PM,16434,44.95912104,-93.26055709,-10381717.7267,5615088.2245,VENTURA VILLAGE,2/7/2018 10:34:35 PM,2/8/2018 8:00:33 PM,49,-10381717.7267,5615088.2245
0005XX 20 AV S,3738827,MP 2018 038725,01,2/6/2018 3:13:00 PM,2/4/2018 4:30:00 AM,04:30:00,BURGD,Burglary Of Dwelling,06,2/6/2018 3:12:43 PM,18092,44.96829991,-93.24407439,-10379882.8801,5616532.3357,CEDAR RIVERSIDE,2/8/2018 10:53:27 AM,2/8/2018 8:00:33 PM,50,-10379882.8801,5616532.3357
0018XX Nicollet AV S,3738933,MP 2018 025031,05,2/7/2018 8:47:00 AM,1/16/2018 10:00:00 AM,10:00:00,THEFT,Other Theft,07,2/7/2018 8:46:08 AM,22155,44.96471066,-93.27781232,-10383638.5694,5615967.612,STEVENS SQUARE - LORING HEIGHTS,2/8/2018 3:32:06 PM,2/8/2018 8:00:33 PM,51,-10383638.5694,5615967.612
0007XX 22 AV S,3738992,MP 2018 039499,01,2/7/2018 10:30:00 AM,2/7/2018 9:31:00 AM,09:31:00,TBLDG,Theft From Building,07,2/7/2018 10:32:01 AM,18785,44.96625266,-93.24091022,-10379530.6472,5616210.2226,CEDAR RIVERSIDE,2/8/2018 11:02:45 AM,2/8/2018 8:00:33 PM,52,-10379530.6472,5616210.2226
0021XX Plymouth AV N,3739022,MP 2018 039669,04,2/7/2018 1:18:00 PM,2/7/2018 12:30:00 PM,12:30:00,THEFT,Other Theft,07,2/7/2018 1:18:23 PM,17608,44.99150434,-93.3075977,-10386954.263,5620184.1177,WILLARD - HAY,2/9/2018 7:48:35 AM,2/9/2018 8:00:40 PM,53,-10386954.263,5620184.1177
0022XX Riverside AV ,3739031,MP 2018 009687,01,2/7/2018 2:15:00 PM,2/7/2018 9:20:00 AM,09:20:00,THEFT,Other Theft,07,2/7/2018 2:11:34 PM,20043,44.96734047,-93.24049668,-10379484.6114,5616381.3757,CEDAR RIVERSIDE,2/8/2018 12:22:16 AM,2/8/2018 8:00:33 PM,54,-10379484.6114,5616381.3757
0031XX Oliver AV N,3739032,MP 2018 039753,04,2/7/2018 2:28:00 PM,2/7/2018 1:30:00 PM,13:30:00,TFMV,Theft From Motr Vehc,07,2/7/2018 2:21:06 PM,19827,45.01233173,-93.30696956,-10386884.3386,5623463.0737,JORDAN,2/9/2018 6:12:14 AM,2/9/2018 8:00:40 PM,55,-10386884.3386,5623463.0737
0033XX Hiawatha AV ,3739033,MP 2018 039785,03,2/7/2018 2:30:00 PM,1/5/2018 9:00:00 AM,09:00:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 2:29:27 PM,21434,44.94124892,-93.23342844,-10378697.779,5612277.0677,LONGFELLOW,2/8/2018 5:02:56 AM,2/8/2018 8:00:33 PM,56,-10378697.779,5612277.0677
0033XX Hiawatha AV ,3739034,MP 2018 039740,03,2/7/2018 2:34:00 PM,1/5/2018 1:25:00 PM,13:25:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 2:33:43 PM,21434,44.94124892,-93.23342844,-10378697.779,5612277.0677,LONGFELLOW,2/8/2018 5:03:24 AM,2/8/2018 8:00:33 PM,57,-10378697.779,5612277.0677
0035XX Fremont AV N,3739040,MP 2018 039825,04,2/7/2018 3:18:00 PM,2/7/2018 2:55:00 PM,14:55:00,ASLT2,Asslt W/dngrs Weapon,05,2/7/2018 3:18:28 PM,10414,45.01946107,-93.29559254,-10385617.8543,5624585.7543,FOLWELL,2/8/2018 5:47:59 AM,2/8/2018 8:00:33 PM,58,-10385617.8543,5624585.7543
0029XX 42 ST E,3739046,MP 2018 039778,03,2/7/2018 3:35:00 PM,2/5/2018 10:00:00 PM,22:00:00,THEFT,Other Theft,07,2/7/2018 3:34:37 PM,11882,44.92688762,-93.23021151,-10378339.6722,5610018.7721,STANDISH,2/8/2018 5:10:20 AM,2/8/2018 8:00:33 PM,59,-10378339.6722,5610018.7721
0022XX 24 ST E,3739048,MP 2018 039754,03,2/7/2018 3:30:00 PM,2/7/2018 8:00:00 AM,08:00:00,THEFT,Other Theft,07,2/7/2018 3:40:20 PM,22844,44.95915412,-93.24047849,-10379482.5866,5615093.4288,SEWARD,2/8/2018 3:56:13 AM,2/8/2018 8:00:33 PM,60,-10379482.5866,5615093.4288
00001X 4 ST N,3739050,MP 2018 039881,01,2/7/2018 3:58:00 PM,1/30/2018 12:01:00 AM,00:01:00,THEFT,Other Theft,07,2/7/2018 3:57:06 PM,17119,44.98083264,-93.27195951,-10382987.0377,5618504.4818,DOWNTOWN WEST,2/7/2018 10:46:56 PM,2/8/2018 8:00:33 PM,61,-10382987.0377,5618504.4818
0011XX Como AV SE,3739058,MP 2018 039920,02,2/7/2018 4:52:00 PM,2/6/2018 10:00:00 PM,22:00:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 4:49:41 PM,15552,44.98793115,-93.2360749,-10378992.3812,5619621.6925,COMO,2/8/2018 6:56:24 AM,2/8/2018 8:00:33 PM,62,-10378992.3812,5619621.6925
0012XX Washington AV S,3739061,MP 2018 039842,01,2/7/2018 4:56:00 PM,2/6/2018 4:05:00 PM,16:05:00,THEFT,Other Theft,07,2/7/2018 4:55:08 PM,19227,44.97447173,-93.25115192,-10380670.7481,5617503.4775,DOWNTOWN EAST,2/7/2018 10:45:42 PM,2/8/2018 8:00:33 PM,63,-10380670.7481,5617503.4775
0052XX 38 AV S,3739078,MP 2018 040106,03,2/7/2018 7:40:00 PM,2/5/2018 5:00:00 PM,17:00:00,BURGD,Burglary Of Dwelling,06,2/7/2018 7:43:23 PM,14000,44.90809149,-93.21776287,-10376953.8954,5607063.9594,MINNEHAHA,2/8/2018 5:13:19 AM,2/8/2018 8:00:33 PM,64,-10376953.8954,5607063.9594
0027XX Longfellow AV S,3739079,MP 2018 040158,03,2/7/2018 7:45:00 PM,2/7/2018 7:26:00 PM,19:26:00,ROBPAG,Robbery Per Agg,04,2/7/2018 7:44:34 PM,21406,44.95285433,-93.24610344,-10380108.7535,5614102.4168,EAST PHILLIPS,2/7/2018 10:25:59 PM,2/8/2018 8:00:33 PM,65,-10380108.7535,5614102.4168
24 ST W / Hennepin AV S,3739088,MP 2018 040178,05,2/7/2018 8:35:00 PM,2/7/2018 7:44:00 PM,19:44:00,AUTOTH,Motor Vehicle Theft,08,2/7/2018 8:28:50 PM,,44.95912,-93.29409,-10385450.31,5615088.449,LOWRY HILL EAST,2/8/2018 7:35:25 AM,2/8/2018 8:00:33 PM,66,-10385450.31,5615088.449
0013XX Hennepin AV E,3739090,MP 2018 040094,02,2/7/2018 8:40:00 PM,2/7/2018 6:00:00 PM,18:00:00,BURGD,Burglary Of Dwelling,06,2/7/2018 8:39:23 PM,19673,44.99147193,-93.23267618,-10378614.038,5620179.016,COMO,2/8/2018 6:56:37 AM,2/8/2018 8:00:33 PM,67,-10378614.038,5620179.016
0026XX Franklin AV E,3739095,MP 2018 040024,03,2/7/2018 9:06:00 PM,2/7/2018 12:00:00 PM,12:00:00,THEFT,Other Theft,07,2/7/2018 9:03:13 PM,15161,44.96276256,-93.23378076,-10378736.9991,5615661.1174,SEWARD,2/8/2018 5:12:25 AM,2/8/2018 8:00:33 PM,68,-10378736.9991,5615661.1174
Cedar Lake RD S / Penn AV S,3739099,MP 2018 040225,04,2/7/2018 9:19:00 PM,2/7/2018 7:45:00 PM,19:45:00,TFMV,Theft From Motr Vehc,07,2/7/2018 9:18:47 PM,,44.97373,-93.30835,-10387038.47,5617386.214,BRYN - MAWR,2/8/2018 6:29:05 AM,2/8/2018 8:00:33 PM,69,-10387038.47,5617386.214
0009XX 27 AV NE,3739102,MP 2018 040275,02,2/7/2018 9:30:00 PM,2/7/2018 9:00:00 AM,09:00:00,BURGD,Burglary Of Dwelling,06,2/7/2018 9:29:47 PM,22595,45.01677446,-93.24645122,-10380147.4685,5624162.6678,AUDUBON PARK,2/8/2018 11:54:10 AM,2/8/2018 8:00:33 PM,70,-10380147.4685,5624162.6678
0016XX Hillside AV ,3739106,MP 2018 999271,04,2/7/2018 9:45:03 PM,2/7/2018 4:15:00 PM,16:15:00,THEFT,Other Theft,07,2/7/2018 9:45:03 PM,18641,45.00119234,-93.30089701,-10386208.3459,5621709.1981,JORDAN,2/7/2018 9:45:07 PM,2/8/2018 8:00:33 PM,71,-10386208.3459,5621709.1981
0031XX 34 AV S,3739111,MP 2018 039919,03,2/7/2018 10:00:00 PM,2/7/2018 8:30:00 AM,08:30:00,BURGD,Burglary Of Dwelling,06,2/7/2018 10:07:53 PM,11832,44.94591033,-93.22293648,-10377529.8193,5613010.1903,LONGFELLOW,2/8/2018 9:42:04 AM,2/8/2018 8:00:33 PM,72,-10377529.8193,5613010.1903
0007XX University AV SE,3739117,MP 2018 040226,02,2/7/2018 10:25:00 PM,2/7/2018 8:20:00 PM,20:20:00,DASTR,Domestic Assault/Strangulation,05,2/7/2018 10:23:18 PM,17978,44.98309944,-93.24557297,-10380049.7015,5618861.2305,MARCY HOLMES,2/7/2018 11:52:03 PM,2/8/2018 8:00:33 PM,73,-10380049.7015,5618861.2305
