PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0004XX 46 ST E,3743885,MP 2018 066210,03,3/2/2018 9:27:00 AM,3/2/2018 3:38:00 AM,03:38:00,BURGB,Burglary Of Business,06,3/2/2018 9:12:43 AM,12980,44.9197048,-93.26960769,-10382725.2346,5608889.4949,REGINA,3/6/2018 10:23:05 AM,3/6/2018 8:00:34 PM,1,-10382725.2346,5608889.4949
0010XX 8 ST SE,3744361,MP 2018 068876,02,3/4/2018 7:37:00 PM,3/3/2018 11:00:00 PM,23:00:00,AUTOTH,Motor Vehicle Theft,08,3/4/2018 7:36:53 PM,17645,44.9863506,-93.23751429,-10379152.6139,5619372.9229,MARCY HOLMES,3/6/2018 5:16:34 AM,3/6/2018 8:00:34 PM,2,-10379152.6139,5619372.9229
0008XX 13 AV SE,3744399,MP 2018 069260,02,3/4/2018 11:39:00 PM,3/4/2018 2:00:00 AM,02:00:00,TFMV,Theft From Motr Vehc,07,3/4/2018 11:39:10 PM,16832,44.98531447,-93.23374831,-10378733.3871,5619209.8457,MARCY HOLMES,3/6/2018 5:09:24 AM,3/6/2018 8:00:34 PM,3,-10378733.3871,5619209.8457
0002XX Hennepin AV S,3744486,MP 2018 066884,01,3/5/2018 11:30:00 AM,3/2/2018 6:11:00 PM,18:11:00,SHOPLF,Shoplifting,07,3/5/2018 11:17:02 AM,21314,44.982576,-93.26841736,-10382592.7271,5618778.8502,NORTH LOOP,3/5/2018 10:22:00 PM,3/6/2018 8:00:34 PM,4,-10382592.7271,5618778.8502
0015XX New Brighton BL ,3744556,MP 2018 069895,02,3/5/2018 3:27:00 PM,3/5/2018 2:24:00 PM,14:24:00,THEFT,Other Theft,07,3/5/2018 3:27:09 PM,21511,45.00363907,-93.22883412,-10378186.3417,5622094.4019,NORTHEAST PARK,3/6/2018 10:06:59 AM,3/6/2018 8:00:34 PM,5,-10378186.3417,5622094.4019
0003XX Quincy ST NE,3744565,MP 2018 069940,02,3/5/2018 4:38:00 PM,2/10/2018 11:30:00 PM,23:30:00,TFMV,Theft From Motr Vehc,07,3/5/2018 4:22:16 PM,17548,44.9944422,-93.25114969,-10380670.4999,5620646.5662,ST. ANTHONY EAST,3/6/2018 5:10:53 AM,3/6/2018 8:00:34 PM,6,-10380670.4999,5620646.5662
0006XX 7 ST S,3744573,MP 2018 070050,01,3/5/2018 5:33:00 PM,3/5/2018 5:00:00 PM,17:00:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 5:33:34 PM,18593,44.9731367,-93.26339055,-10382033.1453,5617293.4003,ELLIOT PARK,3/5/2018 10:27:06 PM,3/6/2018 8:00:34 PM,7,-10382033.1453,5617293.4003
0033XX Emerson AV N,3744590,MP 2018 070113,04,3/5/2018 6:55:00 PM,3/5/2018 6:00:00 PM,18:00:00,BURGD,Burglary Of Dwelling,06,3/5/2018 6:54:06 PM,19818,45.01583896,-93.29433053,-10385477.369,5624015.3514,FOLWELL,3/5/2018 10:08:03 PM,3/6/2018 8:00:34 PM,8,-10385477.369,5624015.3514
0024XX Bloomington AV S,3744597,MP 2018 070163,03,3/5/2018 7:47:00 PM,3/5/2018 6:50:00 PM,18:50:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 7:47:18 PM,21469,44.95823569,-93.25239248,-10380808.8457,5614948.9445,EAST PHILLIPS,3/5/2018 10:09:07 PM,3/6/2018 8:00:34 PM,9,-10380808.8457,5614948.9445
1 ST N / 4 AV N,3744600,MP 2018 070236,01,3/5/2018 8:17:00 PM,3/5/2018 2:00:00 PM,14:00:00,AUTOTH,Motor Vehicle Theft,08,3/5/2018 8:16:49 PM,,44.98699,-93.2713,-10382913.25,5619473.2,NORTH LOOP,3/5/2018 10:21:18 PM,3/6/2018 8:00:34 PM,10,-10382913.25,5619473.2
0007XX Broadway AV W,3744602,MP 2018 069941,04,3/5/2018 8:45:00 PM,3/5/2018 3:18:00 PM,15:18:00,SHOPLF,Shoplifting,07,3/5/2018 8:43:51 PM,17562,44.99913768,-93.28875577,-10384856.7885,5621385.7319,NEAR - NORTH,3/5/2018 10:07:27 PM,3/6/2018 8:00:34 PM,11,-10384856.7885,5621385.7319
